lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL
emozionare,emottsjon'are,emottsjon'ando,emottsjon'ante,emottsjon'anti,emottsjon'ato,emottsjon'ata,emottsjon'ati,emottsjon'ate,emottsj'ona,emottsjonj'amo,emottsjon'ate,emottsj'ono,emottsj'oni,emottsj'ona,emottsjonj'amo,emottsjon'ate,emottsj'onano,emottsj'oni,emottsj'oni,emottsj'oni,emottsjonj'amo,emottsjonj'ate,emottsj'onino,emottsjon'avo,emottsjon'avi,emottsjon'ava,emottsjonav'amo,emottsjonav'ate,emottsjon'avano,emottsjon'assi,emottsjon'assi,emottsjon'asse,emottsjon'assimo,emottsjon'aste,emottsjon'assero,emottsjon'ai,emottsjon'asti,emottsjon'o,emottsjon'ammo,emottsjon'aste,emottsjon'arono,emottsjoner'o,emottsjoner'ai,emottsjoner'a,emottsjoner'emo,emottsjoner'ete,emottsjoner'anno,emottsjoner'ei,emottsjoner'esti,emottsjoner'ebbe,emottsjoner'emmo,emottsjoner'este,emottsjoner'ebbero
escogitare,eskodʒit'are,eskodʒit'ando,eskodʒit'ante,eskodʒit'anti,eskodʒit'ato,eskodʒit'ata,eskodʒit'ati,eskodʒit'ate,esk'odʒita,eskodʒitj'amo,eskodʒit'ate,esk'odʒito,esk'odʒiti,esk'odʒita,eskodʒitj'amo,eskodʒit'ate,esk'odʒitano,esk'odʒiti,esk'odʒiti,esk'odʒiti,eskodʒitj'amo,eskodʒitj'ate,esk'odʒitino,eskodʒit'avo,eskodʒit'avi,eskodʒit'ava,eskodʒitav'amo,eskodʒitav'ate,eskodʒit'avano,eskodʒit'assi,eskodʒit'assi,eskodʒit'asse,eskodʒit'assimo,eskodʒit'aste,eskodʒit'assero,eskodʒit'ai,eskodʒit'asti,eskodʒit'o,eskodʒit'ammo,eskodʒit'aste,eskodʒit'arono,eskodʒiter'o,eskodʒiter'ai,eskodʒiter'a,eskodʒiter'emo,eskodʒiter'ete,eskodʒiter'anno,eskodʒiter'ei,eskodʒiter'esti,eskodʒiter'ebbe,eskodʒiter'emmo,eskodʒiter'este,eskodʒiter'ebbero
esonerare,ezoner'are,ezoner'ando,ezoner'ante,ezoner'anti,ezoner'ato,ezoner'ata,ezoner'ati,ezoner'ate,ez'onera,ezonerj'amo,ezoner'ate,ez'onero,ez'oneri,ez'onera,ezonerj'amo,ezoner'ate,ez'onerano,ez'oneri,ez'oneri,ez'oneri,ezonerj'amo,ezonerj'ate,ez'onerino,ezoner'avo,ezoner'avi,ezoner'ava,ezonerav'amo,ezonerav'ate,ezoner'avano,ezoner'assi,ezoner'assi,ezoner'asse,ezoner'assimo,ezoner'aste,ezoner'assero,ezoner'ai,ezoner'asti,ezoner'o,ezoner'ammo,ezoner'aste,ezoner'arono,ezonerer'o,ezonerer'ai,ezonerer'a,ezonerer'emo,ezonerer'ete,ezonerer'anno,ezonerer'ei,ezonerer'esti,ezonerer'ebbe,ezonerer'emmo,ezonerer'este,ezonerer'ebbero
fiancheggiare,fjaŋkeddʒ'are,fjaŋkeddʒ'ando,fjaŋkeddʒ'ante,fjaŋkeddʒ'anti,fjaŋkeddʒ'ato,fjaŋkeddʒ'ata,fjaŋkeddʒ'ati,fjaŋkeddʒ'ate,fjaŋk'eddʒa,fjaŋkeddʒ'amo,fjaŋkeddʒ'ate,fjaŋk'eddʒo,fjaŋk'eddʒi,fjaŋk'eddʒa,fjaŋkeddʒ'amo,fjaŋkeddʒ'ate,fjaŋk'eddʒano,fjaŋk'eddʒi,fjaŋk'eddʒi,fjaŋk'eddʒi,fjaŋkeddʒ'amo,fjaŋkeddʒ'ate,fjaŋk'eddʒino,fjaŋkeddʒ'avo,fjaŋkeddʒ'avi,fjaŋkeddʒ'ava,fjaŋkeddʒav'amo,fjaŋkeddʒav'ate,fjaŋkeddʒ'avano,fjaŋkeddʒ'assi,fjaŋkeddʒ'assi,fjaŋkeddʒ'asse,fjaŋkeddʒ'assimo,fjaŋkeddʒ'aste,fjaŋkeddʒ'assero,fjaŋkeddʒ'ai,fjaŋkeddʒ'asti,fjaŋkeddʒ'o,fjaŋkeddʒ'ammo,fjaŋkeddʒ'aste,fjaŋkeddʒ'arono,fjaŋkeddʒer'o,fjaŋkeddʒer'ai,fjaŋkeddʒer'a,fjaŋkeddʒer'emo,fjaŋkeddʒer'ete,fjaŋkeddʒer'anno,fjaŋkeddʒer'ei,fjaŋkeddʒer'esti,fjaŋkeddʒer'ebbe,fjaŋkeddʒer'emmo,fjaŋkeddʒer'este,fjaŋkeddʒer'ebbero
impensierire,impensjer'ire,impensjer'endo,impensjer'ente,impensjer'enti,impensjer'ito,impensjer'ita,impensjer'iti,impensjer'ite,impensjer'iʃʃi,impensjerj'amo,impensjer'ite,impensjer'isko,impensjer'iʃʃi,impensjer'iʃʃe,impensjerj'amo,impensjer'ite,impensjer'iskono,impensjer'iska,impensjer'iska,impensjer'iska,impensjerj'amo,impensjerj'ate,impensjer'iskano,impensjer'ivo,impensjer'ivi,impensjer'iva,impensjeriv'amo,impensjeriv'ate,impensjer'ivano,impensjer'issi,impensjer'issi,impensjer'isse,impensjer'issimo,impensjer'iste,impensjer'issero,impensjer'ii,impensjer'isti,impensjer'i,impensjer'immo,impensjer'iste,impensjer'irono,impensjerir'o,impensjerir'ai,impensjerir'a,impensjerir'emo,impensjerir'ete,impensjerir'anno,impensjerir'ei,impensjerir'esti,impensjerir'ebbe,impensjerir'emmo,impensjerir'este,impensjerir'ebbero
impoverire,impover'ire,impover'endo,impover'ente,impover'enti,impover'ito,impover'ita,impover'iti,impover'ite,impover'iʃʃi,impoverj'amo,impover'ite,impover'isko,impover'iʃʃi,impover'iʃʃe,impoverj'amo,impover'ite,impover'iskono,impover'iska,impover'iska,impover'iska,impoverj'amo,impoverj'ate,impover'iskano,impover'ivo,impover'ivi,impover'iva,impoveriv'amo,impoveriv'ate,impover'ivano,impover'issi,impover'issi,impover'isse,impover'issimo,impover'iste,impover'issero,impover'ii,impover'isti,impover'i,impover'immo,impover'iste,impover'irono,impoverir'o,impoverir'ai,impoverir'a,impoverir'emo,impoverir'ete,impoverir'anno,impoverir'ei,impoverir'esti,impoverir'ebbe,impoverir'emmo,impoverir'este,impoverir'ebbero
inarcare,inark'are,inark'ando,inark'ante,inark'anti,inark'ato,inark'ata,inark'ati,inark'ate,in'arka,inarkj'amo,inark'ate,in'arko,in'arki,in'arka,inarkj'amo,inark'ate,in'arkano,in'arki,in'arki,in'arki,inarkj'amo,inarkj'ate,in'arkino,inark'avo,inark'avi,inark'ava,inarkav'amo,inarkav'ate,inark'avano,inark'assi,inark'assi,inark'asse,inark'assimo,inark'aste,inark'assero,inark'ai,inark'asti,inark'o,inark'ammo,inark'aste,inark'arono,inarker'o,inarker'ai,inarker'a,inarker'emo,inarker'ete,inarker'anno,inarker'ei,inarker'esti,inarker'ebbe,inarker'emmo,inarker'este,inarker'ebbero
indietreggiare,indjetreddʒ'are,indjetreddʒ'ando,indjetreddʒ'ante,indjetreddʒ'anti,indjetreddʒ'ato,indjetreddʒ'ata,indjetreddʒ'ati,indjetreddʒ'ate,indjetr'eddʒa,indjetreddʒ'amo,indjetreddʒ'ate,indjetr'eddʒo,indjetr'eddʒi,indjetr'eddʒa,indjetreddʒ'amo,indjetreddʒ'ate,indjetr'eddʒano,indjetr'eddʒi,indjetr'eddʒi,indjetr'eddʒi,indjetreddʒ'amo,indjetreddʒ'ate,indjetr'eddʒino,indjetreddʒ'avo,indjetreddʒ'avi,indjetreddʒ'ava,indjetreddʒav'amo,indjetreddʒav'ate,indjetreddʒ'avano,indjetreddʒ'assi,indjetreddʒ'assi,indjetreddʒ'asse,indjetreddʒ'assimo,indjetreddʒ'aste,indjetreddʒ'assero,indjetreddʒ'ai,indjetreddʒ'asti,indjetreddʒ'o,indjetreddʒ'ammo,indjetreddʒ'aste,indjetreddʒ'arono,indjetreddʒer'o,indjetreddʒer'ai,indjetreddʒer'a,indjetreddʒer'emo,indjetreddʒer'ete,indjetreddʒer'anno,indjetreddʒer'ei,indjetreddʒer'esti,indjetreddʒer'ebbe,indjetreddʒer'emmo,indjetreddʒer'este,indjetreddʒer'ebbero
infilzare,iɱfilts'are,iɱfilts'ando,iɱfilts'ante,iɱfilts'anti,iɱfilts'ato,iɱfilts'ata,iɱfilts'ati,iɱfilts'ate,iɱf'iltsa,iɱfiltsj'amo,iɱfilts'ate,iɱf'iltso,iɱf'iltsi,iɱf'iltsa,iɱfiltsj'amo,iɱfilts'ate,iɱf'iltsano,iɱf'iltsi,iɱf'iltsi,iɱf'iltsi,iɱfiltsj'amo,iɱfiltsj'ate,iɱf'iltsino,iɱfilts'avo,iɱfilts'avi,iɱfilts'ava,iɱfiltsav'amo,iɱfiltsav'ate,iɱfilts'avano,iɱfilts'assi,iɱfilts'assi,iɱfilts'asse,iɱfilts'assimo,iɱfilts'aste,iɱfilts'assero,iɱfilts'ai,iɱfilts'asti,iɱfilts'o,iɱfilts'ammo,iɱfilts'aste,iɱfilts'arono,iɱfiltser'o,iɱfiltser'ai,iɱfiltser'a,iɱfiltser'emo,iɱfiltser'ete,iɱfiltser'anno,iɱfiltser'ei,iɱfiltser'esti,iɱfiltser'ebbe,iɱfiltser'emmo,iɱfiltser'este,iɱfiltser'ebbero
ingerire,indʒer'ire,indʒer'endo,indʒer'ente,indʒer'enti,indʒer'ito,indʒer'ita,indʒer'iti,indʒer'ite,indʒer'iʃʃi,indʒerj'amo,indʒer'ite,indʒer'isko,indʒer'iʃʃi,indʒer'iʃʃe,indʒerj'amo,indʒer'ite,indʒer'iskono,indʒer'iska,indʒer'iska,indʒer'iska,indʒerj'amo,indʒerj'ate,indʒer'iskano,indʒer'ivo,indʒer'ivi,indʒer'iva,indʒeriv'amo,indʒeriv'ate,indʒer'ivano,indʒer'issi,indʒer'issi,indʒer'isse,indʒer'issimo,indʒer'iste,indʒer'issero,indʒer'ii,indʒer'isti,indʒer'i,indʒer'immo,indʒer'iste,indʒer'irono,indʒerir'o,indʒerir'ai,indʒerir'a,indʒerir'emo,indʒerir'ete,indʒerir'anno,indʒerir'ei,indʒerir'esti,indʒerir'ebbe,indʒerir'emmo,indʒerir'este,indʒerir'ebbero
