lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL
essere,'essere,ess'endo,ess'ente,ess'enti,st'ato,st'ata,st'ati,st'ate,s'ii,sj'amo,sj'ate,s'ono,s'ei,'e,sj'amo,sj'ete,s'ono,s'ia,s'ia,s'ia,sj'amo,sj'ate,s'iano,'ero,'eri,'era,erav'amo,erav'ate,'erano,f'ossi,f'ossi,f'osse,f'ossimo,f'oste,f'ossero,f'ui,f'osti,f'u,f'ummo,f'oste,f'urono,sar'o,sar'ai,sar'a,sar'emo,sar'ete,sar'anno,sar'ei,sar'esti,sar'ebbe,sar'emmo,sar'este,sar'ebbero
fare,f'are,fatʃ'endo,fatʃ'ente,fatʃ'enti,f'atto,f'atta,f'atti,f'atte,f'a,fattʃ'amo,f'ate,f'attʃo,f'ai,f'a,fattʃ'amo,f'ate,f'anno,f'attʃa,f'attʃa,f'attʃa,fattʃ'amo,fattʃ'ate,f'attʃano,fatʃ'evo,fatʃ'evi,fatʃ'eva,fatʃev'amo,fatʃev'ate,fatʃ'evano,fatʃ'essi,fatʃ'essi,fatʃ'esse,fatʃ'essimo,fatʃ'este,fatʃ'essero,f'etʃi,fatʃ'esti,f'etʃe,fatʃ'emmo,fatʃ'este,f'etʃero,far'o,far'ai,far'a,far'emo,far'ete,far'anno,far'ei,far'esti,far'ebbe,far'emmo,far'este,far'ebbero
avere,av'ere,av'endo,av'ente,av'enti,av'uto,av'uta,av'uti,av'ute,'abbi,abbj'amo,abbj'ate,'o,'ai,'a,abbj'amo,abbj'ate,'anno,'abbja,'abbja,'abbja,abbj'amo,abbj'ate,'abbjano,av'evo,av'evi,av'eva,avev'amo,avev'ate,av'evano,av'essi,av'essi,av'esse,av'essimo,av'este,av'essero,'ebbi,av'esti,'ebbe,av'emmo,av'este,'ebbero,avr'o,avr'ai,avr'a,avr'emo,avr'ete,avr'anno,avr'ei,avr'esti,avr'ebbe,avr'emmo,avr'este,avr'ebbero
potere,pot'ere,pot'endo,pot'ente,pot'enti,pot'uto,pot'uta,pot'uti,pot'ute,pw'oi,possj'amo,pot'ete,p'osso,pw'oi,pw'o,possj'amo,pot'ete,p'ossono,p'ossa,p'ossa,p'ossa,possj'amo,possj'ate,p'ossano,pot'evo,pot'evi,pot'eva,potev'amo,potev'ate,pot'evano,pot'essi,pot'essi,pot'esse,pot'essimo,pot'este,pot'essero,pot'ei,pot'esti,pot'e,pot'emmo,pot'este,pot'erono,potr'o,potr'ai,potr'a,potr'emo,potr'ete,potr'anno,potr'ei,potr'esti,potr'ebbe,potr'emmo,potr'este,potr'ebbero
dire,d'ire,ditʃ'endo,ditʃ'ente,ditʃ'enti,d'etto,d'etta,d'etti,d'ette,d'i,ditʃ'amo,d'ite,d'iko,d'itʃi,d'itʃe,ditʃ'amo,d'ite,d'ikono,d'ika,d'ika,d'ika,ditʃ'amo,ditʃ'ate,d'ikano,ditʃ'evo,ditʃ'evi,ditʃ'eva,ditʃev'amo,ditʃev'ate,ditʃ'evano,ditʃ'essi,ditʃ'essi,ditʃ'esse,ditʃ'essimo,ditʃ'este,ditʃ'essero,d'issi,ditʃ'esti,d'isse,ditʃ'emmo,ditʃ'este,d'issero,dir'o,dir'ai,dir'a,dir'emo,dir'ete,dir'anno,dir'ei,dir'esti,dir'ebbe,dir'emmo,dir'este,dir'ebbero
dovere,dov'ere,dov'endo,dov'ente,dov'enti,dov'uto,dov'uta,dov'uti,dov'ute,d'evi,dobbj'amo,dov'ete,d'evo,d'evi,d'eve,dobbj'amo,dov'ete,d'evono,d'eva,d'eva,d'eva,dobbj'amo,dobbj'ate,d'evano,dov'evo,dov'evi,dov'eva,dovev'amo,dovev'ate,dov'evano,dov'essi,dov'essi,dov'esse,dov'essimo,dov'este,dov'essero,dov'etti,dov'esti,dov'ette,dov'emmo,dov'este,dov'ettero,dovr'o,dovr'ai,dovr'a,dovr'emo,dovr'ete,dovr'anno,dovr'ei,dovr'esti,dovr'ebbe,dovr'emmo,dovr'este,dovr'ebbero
volere,vol'ere,vol'endo,vol'ente,vol'enti,vol'uto,vol'uta,vol'uti,vol'ute,vw'oi,voʎʎ'amo,vol'ete,v'oʎʎo,vw'oi,vw'ole,voʎʎ'amo,vol'ete,v'oʎʎono,v'oʎʎa,v'oʎʎa,v'oʎʎa,voʎʎ'amo,voʎʎ'ate,v'oʎʎano,vol'evo,vol'evi,vol'eva,volev'amo,volev'ate,vol'evano,vol'essi,vol'essi,vol'esse,vol'essimo,vol'este,vol'essero,v'olli,vol'esti,v'olle,vol'emmo,vol'este,v'ollero,vorr'o,vorr'ai,vorr'a,vorr'emo,vorr'ete,vorr'anno,vorr'ei,vorr'esti,vorr'ebbe,vorr'emmo,vorr'este,vorr'ebbero
andare,and'are,and'ando,and'ante,and'anti,and'ato,and'ata,and'ati,and'ate,v'a,andj'amo,and'ate,v'ado,v'ai,v'a,andj'amo,and'ate,v'anno,v'ada,v'ada,v'ada,andj'amo,andj'ate,v'adano,and'avo,and'avi,and'ava,andav'amo,andav'ate,and'avano,and'assi,and'assi,and'asse,and'assimo,and'aste,and'assero,and'ai,and'asti,and'o,and'ammo,and'aste,and'arono,andr'o,andr'ai,andr'a,andr'emo,andr'ete,andr'anno,andr'ei,andr'esti,andr'ebbe,andr'emmo,andr'este,andr'ebbero
stare,st'are,st'ando,st'ante,st'anti,st'ato,st'ata,st'ati,st'ate,st'a,stj'amo,st'ate,st'o,st'ai,st'a,stj'amo,st'ate,st'anno,st'ia,st'ia,st'ia,stj'amo,stj'ate,st'iano,st'avo,st'avi,st'ava,stav'amo,stav'ate,st'avano,st'essi,st'essi,st'esse,st'essimo,st'este,st'essero,st'etti,st'esti,st'ette,st'emmo,st'este,st'ettero,star'o,star'ai,star'a,star'emo,star'ete,star'anno,star'ei,star'esti,star'ebbe,star'emmo,star'este,star'ebbero
vedere,ved'ere,ved'endo,ved'ente,ved'enti,v'isto,v'ista,v'isti,v'iste,v'edi,vedj'amo,ved'ete,v'edo,v'edi,v'ede,vedj'amo,ved'ete,v'edono,v'eda,v'eda,v'eda,vedj'amo,vedj'ate,v'edano,ved'evo,ved'evi,ved'eva,vedev'amo,vedev'ate,ved'evano,ved'essi,ved'essi,ved'esse,ved'essimo,ved'este,ved'essero,v'idi,ved'esti,v'ide,ved'emmo,ved'este,v'idero,vedr'o,vedr'ai,vedr'a,vedr'emo,vedr'ete,vedr'anno,vedr'ei,vedr'esti,vedr'ebbe,vedr'emmo,vedr'este,vedr'ebbero
sapere,sap'ere,sap'endo,sap'ente,sap'enti,sap'uto,sap'uta,sap'uti,sap'ute,s'appi,sappj'amo,sappj'ate,s'o,s'ai,s'a,sappj'amo,sap'ete,s'anno,s'appja,s'appja,s'appja,sappj'amo,sappj'ate,s'appjano,sap'evo,sap'evi,sap'eva,sapev'amo,sapev'ate,sap'evano,sap'essi,sap'essi,sap'esse,sap'essimo,sap'este,sap'essero,s'eppi,sap'esti,s'eppe,sap'emmo,sap'este,s'eppero,sapr'o,sapr'ai,sapr'a,sapr'emo,sapr'ete,sapr'anno,sapr'ei,sapr'esti,sapr'ebbe,sapr'emmo,sapr'este,sapr'ebbero
dare,d'are,d'ando,d'ante,d'anti,d'ato,d'ata,d'ati,d'ate,d'a,dj'amo,d'ate,d'o,d'ai,d'a,dj'amo,d'ate,d'anno,d'ia,d'ia,d'ia,dj'amo,dj'ate,d'iano,d'avo,d'avi,d'ava,dav'amo,dav'ate,d'avano,d'essi,d'essi,d'esse,d'essimo,d'este,d'essero,dj'edi,d'esti,dj'ede,d'emmo,d'este,dj'edero,dar'o,dar'ai,dar'a,dar'emo,dar'ete,dar'anno,dar'ei,dar'esti,dar'ebbe,dar'emmo,dar'este,dar'ebbero
trovare,trov'are,trov'ando,trov'ante,trov'anti,trov'ato,trov'ata,trov'ati,trov'ate,tr'ova,trovj'amo,trov'ate,tr'ovo,tr'ovi,tr'ova,trovj'amo,trov'ate,tr'ovano,tr'ovi,tr'ovi,tr'ovi,trovj'amo,trovj'ate,tr'ovino,trov'avo,trov'avi,trov'ava,trovav'amo,trovav'ate,trov'avano,trov'assi,trov'assi,trov'asse,trov'assimo,trov'aste,trov'assero,trov'ai,trov'asti,trov'o,trov'ammo,trov'aste,trov'arono,trover'o,trover'ai,trover'a,trover'emo,trover'ete,trover'anno,trover'ei,trover'esti,trover'ebbe,trover'emmo,trover'este,trover'ebbero
mettere,m'ettere,mett'endo,mett'ente,mett'enti,m'esso,m'essa,m'essi,m'esse,m'etti,mettj'amo,mett'ete,m'etto,m'etti,m'ette,mettj'amo,mett'ete,m'ettono,m'etta,m'etta,m'etta,mettj'amo,mettj'ate,m'ettano,mett'evo,mett'evi,mett'eva,mettev'amo,mettev'ate,mett'evano,mett'essi,mett'essi,mett'esse,mett'essimo,mett'este,mett'essero,m'izi,mett'esti,m'ize,mett'emmo,mett'este,m'izero,metter'o,metter'ai,metter'a,metter'emo,metter'ete,metter'anno,metter'ei,metter'esti,metter'ebbe,metter'emmo,metter'este,metter'ebbero
parlare,parl'are,parl'ando,parl'ante,parl'anti,parl'ato,parl'ata,parl'ati,parl'ate,p'arla,parlj'amo,parl'ate,p'arlo,p'arli,p'arla,parlj'amo,parl'ate,p'arlano,p'arli,p'arli,p'arli,parlj'amo,parlj'ate,p'arlino,parl'avo,parl'avi,parl'ava,parlav'amo,parlav'ate,parl'avano,parl'assi,parl'assi,parl'asse,parl'assimo,parl'aste,parl'assero,parl'ai,parl'asti,parl'o,parl'ammo,parl'aste,parl'arono,parler'o,parler'ai,parler'a,parler'emo,parler'ete,parler'anno,parler'ei,parler'esti,parler'ebbe,parler'emmo,parler'este,parler'ebbero
arrivare,arriv'are,arriv'ando,arriv'ante,arriv'anti,arriv'ato,arriv'ata,arriv'ati,arriv'ate,arr'iva,arrivj'amo,arriv'ate,arr'ivo,arr'ivi,arr'iva,arrivj'amo,arriv'ate,arr'ivano,arr'ivi,arr'ivi,arr'ivi,arrivj'amo,arrivj'ate,arr'ivino,arriv'avo,arriv'avi,arriv'ava,arrivav'amo,arrivav'ate,arriv'avano,arriv'assi,arriv'assi,arriv'asse,arriv'assimo,arriv'aste,arriv'assero,arriv'ai,arriv'asti,arriv'o,arriv'ammo,arriv'aste,arriv'arono,arriver'o,arriver'ai,arriver'a,arriver'emo,arriver'ete,arriver'anno,arriver'ei,arriver'esti,arriver'ebbe,arriver'emmo,arriver'este,arriver'ebbero
pensare,pens'are,pens'ando,pens'ante,pens'anti,pens'ato,pens'ata,pens'ati,pens'ate,p'ensa,pensj'amo,pens'ate,p'enso,p'ensi,p'ensa,pensj'amo,pens'ate,p'ensano,p'ensi,p'ensi,p'ensi,pensj'amo,pensj'ate,p'ensino,pens'avo,pens'avi,pens'ava,pensav'amo,pensav'ate,pens'avano,pens'assi,pens'assi,pens'asse,pens'assimo,pens'aste,pens'assero,pens'ai,pens'asti,pens'o,pens'ammo,pens'aste,pens'arono,penser'o,penser'ai,penser'a,penser'emo,penser'ete,penser'anno,penser'ei,penser'esti,penser'ebbe,penser'emmo,penser'este,penser'ebbero
sembrare,sembr'are,sembr'ando,sembr'ante,sembr'anti,sembr'ato,sembr'ata,sembr'ati,sembr'ate,s'embra,sembrj'amo,sembr'ate,s'embro,s'embri,s'embra,sembrj'amo,sembr'ate,s'embrano,s'embri,s'embri,s'embri,sembrj'amo,sembrj'ate,s'embrino,sembr'avo,sembr'avi,sembr'ava,sembrav'amo,sembrav'ate,sembr'avano,sembr'assi,sembr'assi,sembr'asse,sembr'assimo,sembr'aste,sembr'assero,sembr'ai,sembr'asti,sembr'o,sembr'ammo,sembr'aste,sembr'arono,sembrer'o,sembrer'ai,sembrer'a,sembrer'emo,sembrer'ete,sembrer'anno,sembrer'ei,sembrer'esti,sembrer'ebbe,sembrer'emmo,sembrer'este,sembrer'ebbero
prendere,pr'endere,prend'endo,prend'ente,prend'enti,pr'ezo,pr'eza,pr'ezi,pr'eze,pr'endi,prendj'amo,prend'ete,pr'endo,pr'endi,pr'ende,prendj'amo,prend'ete,pr'endono,pr'enda,pr'enda,pr'enda,prendj'amo,prendj'ate,pr'endano,prend'evo,prend'evi,prend'eva,prendev'amo,prendev'ate,prend'evano,prend'essi,prend'essi,prend'esse,prend'essimo,prend'este,prend'essero,pr'ezi,prend'esti,pr'eze,prend'emmo,prend'este,pr'ezero,prender'o,prender'ai,prender'a,prender'emo,prender'ete,prender'anno,prender'ei,prender'esti,prender'ebbe,prender'emmo,prender'este,prender'ebbero
chiedere,kj'edere,kjed'endo,kjed'ente,kjed'enti,kj'esto,kj'esta,kj'esti,kj'este,kj'edi,kjedj'amo,kjed'ete,kj'edo,kj'edi,kj'ede,kjedj'amo,kjed'ete,kj'edono,kj'eda,kj'eda,kj'eda,kjedj'amo,kjedj'ate,kj'edano,kjed'evo,kjed'evi,kjed'eva,kjedev'amo,kjedev'ate,kjed'evano,kjed'essi,kjed'essi,kjed'esse,kjed'essimo,kjed'este,kjed'essero,kj'ezi,kjed'esti,kj'eze,kjed'emmo,kjed'este,kj'ezero,kjeder'o,kjeder'ai,kjeder'a,kjeder'emo,kjeder'ete,kjeder'anno,kjeder'ei,kjeder'esti,kjeder'ebbe,kjeder'emmo,kjeder'este,kjeder'ebbero
lasciare,laʃʃ'are,laʃʃ'ando,laʃʃ'ante,laʃʃ'anti,laʃʃ'ato,laʃʃ'ata,laʃʃ'ati,laʃʃ'ate,l'aʃʃa,laʃʃ'amo,laʃʃ'ate,l'aʃʃo,l'aʃʃi,l'aʃʃa,laʃʃ'amo,laʃʃ'ate,l'aʃʃano,l'aʃʃi,l'aʃʃi,l'aʃʃi,laʃʃ'amo,laʃʃ'ate,l'aʃʃino,laʃʃ'avo,laʃʃ'avi,laʃʃ'ava,laʃʃav'amo,laʃʃav'ate,laʃʃ'avano,laʃʃ'assi,laʃʃ'assi,laʃʃ'asse,laʃʃ'assimo,laʃʃ'aste,laʃʃ'assero,laʃʃ'ai,laʃʃ'asti,laʃʃ'o,laʃʃ'ammo,laʃʃ'aste,laʃʃ'arono,laʃʃer'o,laʃʃer'ai,laʃʃer'a,laʃʃer'emo,laʃʃer'ete,laʃʃer'anno,laʃʃer'ei,laʃʃer'esti,laʃʃer'ebbe,laʃʃer'emmo,laʃʃer'este,laʃʃer'ebbero
sentire,sent'ire,sent'endo,sent'ente,sent'enti,sent'ito,sent'ita,sent'iti,sent'ite,s'enti,sentj'amo,sent'ite,s'ento,s'enti,s'ente,sentj'amo,sent'ite,s'entono,s'enta,s'enta,s'enta,sentj'amo,sentj'ate,s'entano,sent'ivo,sent'ivi,sent'iva,sentiv'amo,sentiv'ate,sent'ivano,sent'issi,sent'issi,sent'isse,sent'issimo,sent'iste,sent'issero,sent'ii,sent'isti,sent'i,sent'immo,sent'iste,sent'irono,sentir'o,sentir'ai,sentir'a,sentir'emo,sentir'ete,sentir'anno,sentir'ei,sentir'esti,sentir'ebbe,sentir'emmo,sentir'este,sentir'ebbero
portare,port'are,port'ando,port'ante,port'anti,port'ato,port'ata,port'ati,port'ate,p'orta,portj'amo,port'ate,p'orto,p'orti,p'orta,portj'amo,port'ate,p'ortano,p'orti,p'orti,p'orti,portj'amo,portj'ate,p'ortino,port'avo,port'avi,port'ava,portav'amo,portav'ate,port'avano,port'assi,port'assi,port'asse,port'assimo,port'aste,port'assero,port'ai,port'asti,port'o,port'ammo,port'aste,port'arono,porter'o,porter'ai,porter'a,porter'emo,porter'ete,porter'anno,porter'ei,porter'esti,porter'ebbe,porter'emmo,porter'este,porter'ebbero
riuscire,riuʃʃ'ire,riuʃʃ'endo,riuʃʃ'ente,riuʃʃ'enti,riuʃʃ'ito,riuʃʃ'ita,riuʃʃ'iti,riuʃʃ'ite,ri'eʃʃi,riuʃʃ'amo,riuʃʃ'ite,ri'esko,ri'eʃʃi,ri'eʃʃe,riuʃʃ'amo,riuʃʃ'ite,ri'eskono,ri'eska,ri'eska,ri'eska,riuʃʃ'amo,riuʃʃ'ate,ri'eskano,riuʃʃ'ivo,riuʃʃ'ivi,riuʃʃ'iva,riuʃʃiv'amo,riuʃʃiv'ate,riuʃʃ'ivano,riuʃʃ'issi,riuʃʃ'issi,riuʃʃ'isse,riuʃʃ'issimo,riuʃʃ'iste,riuʃʃ'issero,riuʃʃ'ii,riuʃʃ'isti,riuʃʃ'i,riuʃʃ'immo,riuʃʃ'iste,riuʃʃ'irono,riuʃʃir'o,riuʃʃir'ai,riuʃʃir'a,riuʃʃir'emo,riuʃʃir'ete,riuʃʃir'anno,riuʃʃir'ei,riuʃʃir'esti,riuʃʃir'ebbe,riuʃʃir'emmo,riuʃʃir'este,riuʃʃir'ebbero
venire,ven'ire,ven'endo,ven'ente,ven'enti,ven'uto,ven'uta,ven'uti,ven'ute,vj'eni,venj'amo,ven'ite,v'eŋgo,vj'eni,vj'ene,venj'amo,ven'ite,v'eŋgono,v'eŋga,v'eŋga,v'eŋga,venj'amo,venj'ate,v'eŋgano,ven'ivo,ven'ivi,ven'iva,veniv'amo,veniv'ate,ven'ivano,ven'issi,ven'issi,ven'isse,ven'issimo,ven'iste,ven'issero,v'enni,ven'isti,v'enne,ven'immo,ven'iste,v'ennero,verr'o,verr'ai,verr'a,verr'emo,verr'ete,verr'anno,verr'ei,verr'esti,verr'ebbe,verr'emmo,verr'este,verr'ebbero
diventare,divent'are,divent'ando,divent'ante,divent'anti,divent'ato,divent'ata,divent'ati,divent'ate,div'enta,diventj'amo,divent'ate,div'ento,div'enti,div'enta,diventj'amo,divent'ate,div'entano,div'enti,div'enti,div'enti,diventj'amo,diventj'ate,div'entino,divent'avo,divent'avi,divent'ava,diventav'amo,diventav'ate,divent'avano,divent'assi,divent'assi,divent'asse,divent'assimo,divent'aste,divent'assero,divent'ai,divent'asti,divent'o,divent'ammo,divent'aste,divent'arono,diventer'o,diventer'ai,diventer'a,diventer'emo,diventer'ete,diventer'anno,diventer'ei,diventer'esti,diventer'ebbe,diventer'emmo,diventer'este,diventer'ebbero
cercare,tʃerk'are,tʃerk'ando,tʃerk'ante,tʃerk'anti,tʃerk'ato,tʃerk'ata,tʃerk'ati,tʃerk'ate,tʃ'erka,tʃerkj'amo,tʃerk'ate,tʃ'erko,tʃ'erki,tʃ'erka,tʃerkj'amo,tʃerk'ate,tʃ'erkano,tʃ'erki,tʃ'erki,tʃ'erki,tʃerkj'amo,tʃerkj'ate,tʃ'erkino,tʃerk'avo,tʃerk'avi,tʃerk'ava,tʃerkav'amo,tʃerkav'ate,tʃerk'avano,tʃerk'assi,tʃerk'assi,tʃerk'asse,tʃerk'assimo,tʃerk'aste,tʃerk'assero,tʃerk'ai,tʃerk'asti,tʃerk'o,tʃerk'ammo,tʃerk'aste,tʃerk'arono,tʃerker'o,tʃerker'ai,tʃerker'a,tʃerker'emo,tʃerker'ete,tʃerker'anno,tʃerker'ei,tʃerker'esti,tʃerker'ebbe,tʃerker'emmo,tʃerker'este,tʃerker'ebbero
passare,pass'are,pass'ando,pass'ante,pass'anti,pass'ato,pass'ata,pass'ati,pass'ate,p'assa,passj'amo,pass'ate,p'asso,p'assi,p'assa,passj'amo,pass'ate,p'assano,p'assi,p'assi,p'assi,passj'amo,passj'ate,p'assino,pass'avo,pass'avi,pass'ava,passav'amo,passav'ate,pass'avano,pass'assi,pass'assi,pass'asse,pass'assimo,pass'aste,pass'assero,pass'ai,pass'asti,pass'o,pass'ammo,pass'aste,pass'arono,passer'o,passer'ai,passer'a,passer'emo,passer'ete,passer'anno,passer'ei,passer'esti,passer'ebbe,passer'emmo,passer'este,passer'ebbero
vivere,v'ivere,viv'endo,viv'ente,viv'enti,viss'uto,viss'uta,viss'uti,viss'ute,v'ivi,vivj'amo,viv'ete,v'ivo,v'ivi,v'ive,vivj'amo,viv'ete,v'ivono,v'iva,v'iva,v'iva,vivj'amo,vivj'ate,v'ivano,viv'evo,viv'evi,viv'eva,vivev'amo,vivev'ate,viv'evano,viv'essi,viv'essi,viv'esse,viv'essimo,viv'este,viv'essero,v'issi,viv'esti,v'isse,viv'emmo,viv'este,v'issero,vivr'o,vivr'ai,vivr'a,vivr'emo,vivr'ete,vivr'anno,vivr'ei,vivr'esti,vivr'ebbe,vivr'emmo,vivr'este,vivr'ebbero
tornare,torn'are,torn'ando,torn'ante,torn'anti,torn'ato,torn'ata,torn'ati,torn'ate,t'orna,tornj'amo,torn'ate,t'orno,t'orni,t'orna,tornj'amo,torn'ate,t'ornano,t'orni,t'orni,t'orni,tornj'amo,tornj'ate,t'ornino,torn'avo,torn'avi,torn'ava,tornav'amo,tornav'ate,torn'avano,torn'assi,torn'assi,torn'asse,torn'assimo,torn'aste,torn'assero,torn'ai,torn'asti,torn'o,torn'ammo,torn'aste,torn'arono,torner'o,torner'ai,torner'a,torner'emo,torner'ete,torner'anno,torner'ei,torner'esti,torner'ebbe,torner'emmo,torner'este,torner'ebbero
rimanere,riman'ere,riman'endo,riman'ente,riman'enti,rim'asto,rim'asta,rim'asti,rim'aste,rim'ani,rimanj'amo,riman'ete,rim'aŋgo,rim'ani,rim'ane,rimanj'amo,riman'ete,rim'aŋgono,rim'aŋga,rim'aŋga,rim'aŋga,rimanj'amo,rimanj'ate,rim'aŋgano,riman'evo,riman'evi,riman'eva,rimanev'amo,rimanev'ate,riman'evano,riman'essi,riman'essi,riman'esse,riman'essimo,riman'este,riman'essero,rim'azi,riman'esti,rim'aze,riman'emmo,riman'este,rim'azero,rimarr'o,rimarr'ai,rimarr'a,rimarr'emo,rimarr'ete,rimarr'anno,rimarr'ei,rimarr'esti,rimarr'ebbe,rimarr'emmo,rimarr'este,rimarr'ebbero
tenere,ten'ere,ten'endo,ten'ente,ten'enti,ten'uto,ten'uta,ten'uti,ten'ute,tj'eni,tenj'amo,ten'ete,t'eŋgo,tj'eni,tj'ene,tenj'amo,ten'ete,t'eŋgono,t'eŋga,t'eŋga,t'eŋga,tenj'amo,tenj'ate,t'eŋgano,ten'evo,ten'evi,ten'eva,tenev'amo,tenev'ate,ten'evano,ten'essi,ten'essi,ten'esse,ten'essimo,ten'este,ten'essero,t'enni,ten'esti,t'enne,ten'emmo,ten'este,t'ennero,terr'o,terr'ai,terr'a,terr'emo,terr'ete,terr'anno,terr'ei,terr'esti,terr'ebbe,terr'emmo,terr'este,terr'ebbero
spiegare,spjeg'are,spjeg'ando,spjeg'ante,spjeg'anti,spjeg'ato,spjeg'ata,spjeg'ati,spjeg'ate,spj'ega,spjegj'amo,spjeg'ate,spj'ego,spj'egi,spj'ega,spjegj'amo,spjeg'ate,spj'egano,spj'egi,spj'egi,spj'egi,spjegj'amo,spjegj'ate,spj'egino,spjeg'avo,spjeg'avi,spjeg'ava,spjegav'amo,spjegav'ate,spjeg'avano,spjeg'assi,spjeg'assi,spjeg'asse,spjeg'assimo,spjeg'aste,spjeg'assero,spjeg'ai,spjeg'asti,spjeg'o,spjeg'ammo,spjeg'aste,spjeg'arono,spjeger'o,spjeger'ai,spjeger'a,spjeger'emo,spjeger'ete,spjeger'anno,spjeger'ei,spjeger'esti,spjeger'ebbe,spjeger'emmo,spjeger'este,spjeger'ebbero
finire,fin'ire,fin'endo,fin'ente,fin'enti,fin'ito,fin'ita,fin'iti,fin'ite,fin'iʃʃi,finj'amo,fin'ite,fin'isko,fin'iʃʃi,fin'iʃʃe,finj'amo,fin'ite,fin'iskono,fin'iska,fin'iska,fin'iska,finj'amo,finj'ate,fin'iskano,fin'ivo,fin'ivi,fin'iva,finiv'amo,finiv'ate,fin'ivano,fin'issi,fin'issi,fin'isse,fin'issimo,fin'iste,fin'issero,fin'ii,fin'isti,fin'i,fin'immo,fin'iste,fin'irono,finir'o,finir'ai,finir'a,finir'emo,finir'ete,finir'anno,finir'ei,finir'esti,finir'ebbe,finir'emmo,finir'este,finir'ebbero
capire,kap'ire,kap'endo,kap'ente,kap'enti,kap'ito,kap'ita,kap'iti,kap'ite,kap'iʃʃi,kapj'amo,kap'ite,kap'isko,kap'iʃʃi,kap'iʃʃe,kapj'amo,kap'ite,kap'iskono,kap'iska,kap'iska,kap'iska,kapj'amo,kapj'ate,kap'iskano,kap'ivo,kap'ivi,kap'iva,kapiv'amo,kapiv'ate,kap'ivano,kap'issi,kap'issi,kap'isse,kap'issimo,kap'iste,kap'issero,kap'ii,kap'isti,kap'i,kap'immo,kap'iste,kap'irono,kapir'o,kapir'ai,kapir'a,kapir'emo,kapir'ete,kapir'anno,kapir'ei,kapir'esti,kapir'ebbe,kapir'emmo,kapir'este,kapir'ebbero
chiamare,kjam'are,kjam'ando,kjam'ante,kjam'anti,kjam'ato,kjam'ata,kjam'ati,kjam'ate,kj'ama,kjamj'amo,kjam'ate,kj'amo,kj'ami,kj'ama,kjamj'amo,kjam'ate,kj'amano,kj'ami,kj'ami,kj'ami,kjamj'amo,kjamj'ate,kj'amino,kjam'avo,kjam'avi,kjam'ava,kjamav'amo,kjamav'ate,kjam'avano,kjam'assi,kjam'assi,kjam'asse,kjam'assimo,kjam'aste,kjam'assero,kjam'ai,kjam'asti,kjam'o,kjam'ammo,kjam'aste,kjam'arono,kjamer'o,kjamer'ai,kjamer'a,kjamer'emo,kjamer'ete,kjamer'anno,kjamer'ei,kjamer'esti,kjamer'ebbe,kjamer'emmo,kjamer'este,kjamer'ebbero
credere,kr'edere,kred'endo,kred'ente,kred'enti,kred'uto,kred'uta,kred'uti,kred'ute,kr'edi,kredj'amo,kred'ete,kr'edo,kr'edi,kr'ede,kredj'amo,kred'ete,kr'edono,kr'eda,kr'eda,kr'eda,kredj'amo,kredj'ate,kr'edano,kred'evo,kred'evi,kred'eva,kredev'amo,kredev'ate,kred'evano,kred'essi,kred'essi,kred'esse,kred'essimo,kred'este,kred'essero,kred'etti,kred'esti,kred'ette,kred'emmo,kred'este,kred'ettero,kreder'o,kreder'ai,kreder'a,kreder'emo,kreder'ete,kreder'anno,kreder'ei,kreder'esti,kreder'ebbe,kreder'emmo,kreder'este,kreder'ebbero
